,station_a,station_b,a,sum_arrival_b,b_arrival_ratio
0,Soissons Landing,Yankee Ferry Terminal,697,1248,0.5584935897435898
1,Picnic Point,Yankee Ferry Terminal,459,1248,0.36778846153846156
68,Pier 40 - Hudson River Park,West St & Chambers St,604,14833,0.04072001618013888
69,12 Ave & W 40 St,West St & Chambers St,532,14833,0.03586597451628126
70,10 Ave & W 14 St,West St & Chambers St,473,14833,0.03188835704173128
842,Roosevelt Island Tramway,Southpoint Park,595,952,0.625
843,Motorgate,Southpoint Park,188,952,0.19747899159663865
961,Motorgate,Roosevelt Island Tramway,545,1023,0.5327468230694037
962,36 Ave & 10 St,Roosevelt Island Tramway,31,1023,0.030303030303030304
963,46 Ave & 5 St,Roosevelt Island Tramway,27,1023,0.026392961876832845
964,35 Ave & 10 St,Roosevelt Island Tramway,25,1023,0.024437927663734114
1156,Picnic Point,Soissons Landing,478,518,0.9227799227799228
1199,9 Ave & W 22 St,W 21 St & 6 Ave,292,10921,0.026737478252907242
1201,W 20 St & 10 Ave,W 21 St & 6 Ave,254,10921,0.023257943411775478
1203,W 15 St & 6 Ave,W 21 St & 6 Ave,233,10921,0.02133504257851845
1830,1 Ave & E 62 St,1 Ave & E 68 St,598,1081,0.5531914893617021
1831,1 Ave & E 39 St,1 Ave & E 68 St,195,1081,0.18038852913968548
1832,1 Ave & E 44 St,1 Ave & E 68 St,145,1081,0.1341350601295097
1833,1 Ave & E 30 St,1 Ave & E 68 St,64,1081,0.05920444033302498
1834,1 Ave & E 18 St,1 Ave & E 68 St,23,1081,0.02127659574468085
1835,1 Ave & E 16 St,1 Ave & E 68 St,34,1081,0.03145235892691952
1838,W 22 St & 10 Ave,W 22 St & 8 Ave,503,6281,0.08008278936475084
1839,W 21 St & 6 Ave,W 22 St & 8 Ave,272,6281,0.04330520617736029
1840,W 20 St & 10 Ave,W 22 St & 8 Ave,168,6281,0.026747333227193124
1841,9 Ave & W 22 St,W 22 St & 8 Ave,199,6281,0.031682853048877566
1842,Greenwich Ave & 8 Ave,W 22 St & 8 Ave,200,6281,0.0318420633657061
1847,W 20 St & 8 Ave,W 22 St & 8 Ave,129,6281,0.020538130870880432
2360,10 Ave & W 14 St,12 Ave & W 40 St,289,857,0.3372228704784131
2361,11 Ave & W 41 St,12 Ave & W 40 St,151,857,0.176196032672112
2362,12 Ave & W 125 St,12 Ave & W 40 St,126,857,0.147024504084014
2363,11 Ave & W 27 St,12 Ave & W 40 St,92,857,0.1073512252042007
2364,11 Ave & W 59 St,12 Ave & W 40 St,100,857,0.11668611435239207
2365,10 Ave & W 28 St,12 Ave & W 40 St,25,857,0.029171528588098017
2366,1 Ave & E 68 St,12 Ave & W 40 St,25,857,0.029171528588098017
2380,Henry St & Grand St,Norfolk St & Broome St,400,5612,0.07127583749109052
2381,Grand St & Samuel Dickstein Plaza,Norfolk St & Broome St,148,5612,0.026372059871703494
2382,Clinton St & Grand St,Norfolk St & Broome St,158,5612,0.028153955808980755
2923,10 Ave & W 14 St,West St & Liberty St,439,10935,0.04014631915866484
2924,Pier 40 - Hudson River Park,West St & Liberty St,433,10935,0.0395976223136717
2925,Little West St & 1 Pl,West St & Liberty St,398,10935,0.03639689071787837
2926,West St & Chambers St,West St & Liberty St,257,10935,0.02350251486053955
2927,12 Ave & W 40 St,West St & Liberty St,257,10935,0.02350251486053955
3614,Old Slip & South St,South St & Gouverneur Ln,710,3674,0.19324986390854654
3616,Pier 40 - Hudson River Park,South St & Gouverneur Ln,74,3674,0.020141535111594992
4088,12 Ave & W 40 St,Pier 40 - Hudson River Park,420,5200,0.08076923076923077
4089,Greenwich St & W Houston St,Pier 40 - Hudson River Park,472,5200,0.09076923076923077
4090,10 Ave & W 14 St,Pier 40 - Hudson River Park,164,5200,0.031538461538461536
4091,Little West St & 1 Pl,Pier 40 - Hudson River Park,159,5200,0.030576923076923078
4092,North Moore St & Greenwich St,Pier 40 - Hudson River Park,139,5200,0.02673076923076923
4553,W 21 St & 6 Ave,W 22 St & 10 Ave,423,6864,0.06162587412587413
