,station,start,end,sum
7,1 Ave & E 62 St,664.0,675,1339.0
8,1 Ave & E 68 St,699.0,769,1468.0
29,12 Ave & W 40 St,613.0,650,1263.0
245,6 Ave & W 33 St,638.0,607,1245.0
246,6 Ave & W 34 St,653.0,607,1260.0
299,Allen St & Hester St,604.0,635,1239.0
300,Allen St & Rivington St,641.0,654,1295.0
301,Allen St & Stanton St,652.0,672,1324.0
393,Broadway & Berry St,640.0,657,1297.0
394,Broadway & E 14 St,661.0,632,1293.0
396,Broadway & E 21 St,665.0,658,1323.0
417,Broadway & W 25 St,654.0,627,1281.0
426,Broadway & W 58 St,679.0,663,1342.0
455,Canal St & Rutgers St,639.0,640,1279.0
457,Carmine St & 6 Ave,616.0,618,1234.0
486,Central Park S & 6 Ave,587.0,643,1230.0
494,Centre St & Chambers St,639.0,621,1260.0
509,Cleveland Pl & Spring St,735.0,725,1460.0
697,E 33 St & 1 Ave,621.0,637,1258.0
859,Grand Army Plaza & Central Park S,599.0,625,1224.0
880,Grand St & Elizabeth St,664.0,645,1309.0
967,Kenmare St & Elizabeth St,626.0,597,1223.0
969,Kent Ave & N 7 St,687.0,728,1415.0
987,Lafayette St & E 8 St,641.0,646,1287.0
988,Lafayette St & Jersey St,673.0,723,1396.0
1069,Metropolitan Ave & Bedford Ave,651.0,680,1331.0
1097,Mott St & Prince St,606.0,636,1242.0
1112,N 6 St & Bedford Ave,606.0,618,1224.0
1126,Norfolk St & Broome St,660.0,651,1311.0
1212,Rivington St & Chrystie St,629.0,632,1261.0
1221,S 3 St & Bedford Ave,680.0,667,1347.0
1223,S 4 St & Wythe Ave,705.0,733,1438.0
1224,S 5 Pl & S 5 St,699.0,678,1377.0
1289,Stanton St & Chrystie St,630.0,606,1236.0
1305,Suffolk St & Stanton St,633.0,608,1241.0
1333,University Pl & E 14 St,677.0,653,1330.0
1350,Vesey St & Church St,620.0,630,1250.0
1404,W 21 St & 6 Ave,601.0,628,1229.0
1529,West St & Chambers St,678.0,657,1335.0
1564,Wythe Ave & Metropolitan Ave,718.0,729,1447.0
