,name,station,start,end,sum
0,1 Ave & E 68 St,1 Ave & E 68 St,699.0,769,1468.0
1,Cleveland Pl & Spring St,Cleveland Pl & Spring St,735.0,725,1460.0
2,Wythe Ave & Metropolitan Ave,Wythe Ave & Metropolitan Ave,718.0,729,1447.0
3,S 4 St & Wythe Ave,S 4 St & Wythe Ave,705.0,733,1438.0
4,Kent Ave & N 7 St,Kent Ave & N 7 St,687.0,728,1415.0
5,Lafayette St & Jersey St,Lafayette St & Jersey St,673.0,723,1396.0
6,S 5 Pl & S 5 St,S 5 Pl & S 5 St,699.0,678,1377.0
7,S 3 St & Bedford Ave,S 3 St & Bedford Ave,680.0,667,1347.0
8,Broadway & W 58 St,Broadway & W 58 St,679.0,663,1342.0
9,1 Ave & E 62 St,1 Ave & E 62 St,664.0,675,1339.0
10,West St & Chambers St,West St & Chambers St,678.0,657,1335.0
11,Metropolitan Ave & Bedford Ave,Metropolitan Ave & Bedford Ave,651.0,680,1331.0
12,University Pl & E 14 St,University Pl & E 14 St,677.0,653,1330.0
13,Allen St & Stanton St,Allen St & Stanton St,652.0,672,1324.0
14,Broadway & E 21 St,Broadway & E 21 St,665.0,658,1323.0
15,Norfolk St & Broome St,Norfolk St & Broome St,660.0,651,1311.0
16,Grand St & Elizabeth St,Grand St & Elizabeth St,664.0,645,1309.0
17,Broadway & Berry St,Broadway & Berry St,640.0,657,1297.0
18,Allen St & Rivington St,Allen St & Rivington St,641.0,654,1295.0
19,Broadway & E 14 St,Broadway & E 14 St,661.0,632,1293.0
