,name,station,start,end,sum
0,W 24 St & 7 Ave,W 24 St & 7 Ave,0.0,1,1.0
1,48 Ave & 37 St,48 Ave & 37 St,0.0,2,2.0
2,34 St & 48 Ave,34 St & 48 Ave,2.0,2,4.0
3,36 St & 47 Ave,36 St & 47 Ave,3.0,5,8.0
4,36 St & Hunters Point Ave,36 St & Hunters Point Ave,7.0,9,16.0
5,W 212 St & 10 Ave,W 212 St & 10 Ave,13.0,11,24.0
6,9 Ave & W 219 St,9 Ave & W 219 St,12.0,15,27.0
7,Sedgwick Ave & Hall of Fame Tce,Sedgwick Ave & Hall of Fame Tce,16.0,13,29.0
8,Skillman Ave & Honeywell St,Skillman Ave & Honeywell St,11.0,18,29.0
9,36 St & Queens Blvd,36 St & Queens Blvd,18.0,19,37.0
10,Picnic Point,Picnic Point,16.0,22,38.0
11,31 Pl & Hunters Point Ave,31 Pl & Hunters Point Ave,20.0,19,39.0
12,Borden Ave & Review Ave,Borden Ave & Review Ave,21.0,22,43.0
13,Faile St & Garrison Ave,Faile St & Garrison Ave,22.0,25,47.0
14,Amsterdam Ave & W 189 St,Amsterdam Ave & W 189 St,27.0,21,48.0
15,Skillman Ave & 43 Ave,Skillman Ave & 43 Ave,28.0,25,53.0
16,64 St & 3 Ave,64 St & 3 Ave,21.0,38,59.0
17,Van Dam St & Greenpoint Ave,Van Dam St & Greenpoint Ave,31.0,30,61.0
18,Decatur Ave & E 197 St,Decatur Ave & E 197 St,29.0,35,64.0
19,Barry St & Tiffany St,Barry St & Tiffany St,38.0,30,68.0
20,Bradley Ave & Greenpoint Ave,Bradley Ave & Greenpoint Ave,36.0,34,70.0
21,Decatur Ave & Oliver Pl,Decatur Ave & Oliver Pl,39.0,32,71.0
22,Grand Concourse & E 205 St,Grand Concourse & E 205 St,37.0,35,72.0
23,Soissons Landing,Soissons Landing,26.0,47,73.0
24,Jerome Ave & E 198 St,Jerome Ave & E 198 St,41.0,33,74.0
25,E Mosholu Pkwy & E 204 St,E Mosholu Pkwy & E 204 St,39.0,36,75.0
26,Bailey Ave & W 193 St,Bailey Ave & W 193 St,39.0,37,76.0
27,41 St & 3 Ave,41 St & 3 Ave,37.0,39,76.0
28,65 St & 2 Ave,65 St & 2 Ave,34.0,44,78.0
